phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,details,target,label,domain,url_length,entropy,has_ip,num_subdomains
9420018,https://allegro-lokalnie.oferta65422643.shop,http://www.phishtank.com/phish_detail.php?phish_id=9420018,2026-05-09 00:31:18+00:00,yes,2026-05-09 00:42:27+00:00,yes,"[{'ip_address': '172.67.178.164', 'cidr_block': '172.67.176.0/20', 'announcing_network': '13335', 'rir': 'arin', 'country': 'US', 'detail_time': '2026-05-09T01:03:52+00:00'}]",Allegro,1,allegro-lokalnie.oferta65422643.shop,44,4.362507470762515,0,2
9420017,https://allegrolokainie.182652h2.sbs,http://www.phishtank.com/phish_detail.php?phish_id=9420017,2026-05-09 00:28:12+00:00,yes,2026-05-09 00:32:26+00:00,yes,"[{'ip_address': '104.21.49.55', 'cidr_block': '104.21.48.0/20', 'announcing_network': '13335', 'rir': 'arin', 'country': 'US', 'detail_time': '2026-05-09T01:03:52+00:00'}]",Allegro,1,allegrolokainie.182652h2.sbs,36,4.329239931817578,0,2
9420016,https://allegro-lokalnie.126325g2.sbs,http://www.phishtank.com/phish_detail.php?phish_id=9420016,2026-05-09 00:28:10+00:00,yes,2026-05-09 00:32:26+00:00,yes,"[{'ip_address': '104.21.22.60', 'cidr_block': '104.21.0.0/19', 'announcing_network': '13335', 'rir': 'arin', 'country': 'US', 'detail_time': '2026-05-09T01:03:52+00:00'}]",Allegro,1,allegro-lokalnie.126325g2.sbs,37,4.357837824971466,0,2
9420015,https://allegrolokalnie.pl-bu6rhggt.cfd,http://www.phishtank.com/phish_detail.php?phish_id=9420015,2026-05-09 00:24:08+00:00,yes,2026-05-09 00:32:26+00:00,yes,"[{'ip_address': '172.67.194.30', 'cidr_block': '172.67.192.0/20', 'announcing_network': '13335', 'rir': 'arin', 'country': 'US', 'detail_time': '2026-05-09T01:03:52+00:00'}]",Allegro,1,allegrolokalnie.pl-bu6rhggt.cfd,39,4.333622334791383,0,2
9420013,http://allegro.ofert3029102-3f.shop,http://www.phishtank.com/phish_detail.php?phish_id=9420013,2026-05-09 00:22:18+00:00,yes,2026-05-09 00:32:26+00:00,yes,"[{'ip_address': '172.67.192.84', 'cidr_block': '172.67.192.0/20', 'announcing_network': '13335', 'rir': 'arin', 'country': 'US', 'detail_time': '2026-05-09T01:03:52+00:00'}]",Allegro,1,allegro.ofert3029102-3f.shop,35,4.229003731107054,0,2
9420014,https://allegro.ofert3029102-3f.shop/,http://www.phishtank.com/phish_detail.php?phish_id=9420014,2026-05-09 00:22:18+00:00,yes,2026-05-09 00:32:26+00:00,yes,"[{'ip_address': '172.67.192.84', 'cidr_block': '172.67.192.0/20', 'announcing_network': '13335', 'rir': 'arin', 'country': 'US', 'detail_time': '2026-05-09T01:03:52+00:00'}]",Allegro,1,allegro.ofert3029102-3f.shop,37,4.229327351940022,0,2
9420007,http://allegrolokalnie.pl-837013145.cfd,http://www.phishtank.com/phish_detail.php?phish_id=9420007,2026-05-08 23:56:31+00:00,yes,2026-05-09 00:03:54+00:00,yes,"[{'ip_address': '172.67.200.235', 'cidr_block': '172.67.192.0/20', 'announcing_network': '13335', 'rir': 'arin', 'country': 'US', 'detail_time': '2026-05-09T00:22:59+00:00'}]",Allegro,1,allegrolokalnie.pl-837013145.cfd,39,4.526180668235663,0,2
9420006,http://allegrolokalne.182652h2.sbs,http://www.phishtank.com/phish_detail.php?phish_id=9420006,2026-05-08 23:56:22+00:00,yes,2026-05-09 00:03:54+00:00,yes,"[{'ip_address': '104.21.49.55', 'cidr_block': '104.21.32.0/19', 'announcing_network': '13335', 'rir': 'arin', 'country': 'US', 'detail_time': '2026-05-09T00:22:59+00:00'}]",Allegro,1,allegrolokalne.182652h2.sbs,34,4.24173085589259,0,2
9419995,http://allegro-lokalnie.ofert3029102-3f.shop/,http://www.phishtank.com/phish_detail.php?phish_id=9419995,2026-05-08 23:38:26+00:00,yes,2026-05-08 23:52:30+00:00,yes,"[{'ip_address': '104.21.20.102', 'cidr_block': '104.21.16.0/20', 'announcing_network': '13335', 'rir': 'arin', 'country': 'US', 'detail_time': '2026-05-09T00:22:59+00:00'}]",Allegro,1,allegro-lokalnie.ofert3029102-3f.shop,45,4.374860596185443,0,2
9419996,https://allegro-lokalnie.ofert3029102-3f.shop/,http://www.phishtank.com/phish_detail.php?phish_id=9419996,2026-05-08 23:38:26+00:00,yes,2026-05-08 23:52:30+00:00,yes,"[{'ip_address': '104.21.20.102', 'cidr_block': '104.21.0.0/19', 'announcing_network': '13335', 'rir': 'arin', 'country': 'US', 'detail_time': '2026-05-09T00:22:59+00:00'}]",Allegro,1,allegro-lokalnie.ofert3029102-3f.shop,46,4.3873736406985255,0,2
9419993,http://allegro.354903tgiu34.shop/,http://www.phishtank.com/phish_detail.php?phish_id=9419993,2026-05-08 23:37:53+00:00,yes,2026-05-08 23:42:17+00:00,yes,"[{'ip_address': '172.67.205.139', 'cidr_block': '172.67.192.0/20', 'announcing_network': '13335', 'rir': 'arin', 'country': 'US', 'detail_time': '2026-05-09T00:22:59+00:00'}]",Allegro,1,allegro.354903tgiu34.shop,33,4.187889194919351,0,2
